For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
24.2,4.94,650,847,846,299,-639.8,292,-649,-88,-84.7,928,968,892,339,52,752,773,-86.7
24.8,4.94,617,847,846,297,-630.6,287,-641,-91,-78.3,918,972,889,790,61,755,779,-78.08
25.2,4.94,620,847,846,298,-631.1,284,-645,-89,-85.1,927,985,884,148,78,745,781,-87.41
25.3,4.93,664,852,851,294,-642.8,286,-654,-97,-83.9,966,983,889,851,165,745,771,-86.23
25.2,4.94,693,852,851,302,-645.4,280,-656,-93,-80,968,985,889,564,321,776,792,-82.81
24.9,4.93,698,853,851,301,-646.3,283,-674,-93,-91,960,990,893,686,330,767,795,-89.78
25.4,4.94,648,853,851,296,-651.6,284,-666,-95,-87.1,964,989,892,877,538,768,804,-88.82
25.4,4.94,649,853,851,289,-649.2,283,-660,-89,-85.6,943,991,885,365,339,789,826,-83.01
25.4,4.94,669,853,851,291,-641.2,285,-651,-88,-75.4,925,991,893,538,356,764,796,-77.49
25.4,4.94,635,853,851,297,-644.4,280,-655,-85,-81.6,918,989,893,208,365,771,795,-82.11
25.6,4.94,619,852,850,302,-632,275,-661,-83,-78.9,908,982,889,156,720,766,802,-77.16
26,4.94,660,853,851,304,-630.2,279,-655,-83,-73.7,928,980,888,486,451,773,809,-71.59
25.6,4.94,654,853,850,303,-630,279,-648,-78,-69.4,919,990,894,590,373,779,803,-70.26
26,4.93,669,852,850,292,-643.3,288,-646,-74,-72,891,995,890,512,321,771,783,-72.65
26,4.94,662,852,850,291,-643.8,283,-661,-77,-74.9,890,999,882,495,391,777,813,-75.31
26,4.94,677,852,850,301,-648.4,287,-658,-81,-82.4,901,998,892,1016,1259,793,804,-82.59
26,4.93,682,852,850,298,-637.6,285,-650,-81,-78.4,932,997,888,191,321,779,809,-78.76
26,4.94,705,853,851,293,-650,285,-660,-89,-90.7,965,992,881,339,330,784,806,-88.68
26,4.93,691,853,851,287,-647.7,284,-654,-90,-77.8,956,996,887,443,347,756,784,-81.42
26,4.93,663,853,852,290,-650.7,284,-663,-94,-83.1,947,985,886,773,1085,775,810,-82.97
26,4.94,650,852,850,290,-658.3,283,-668,-90,-88.3,946,986,884,443,339,786,799,-86.77
26,4.94,628,853,851,290,-657.1,284,-660,-92,-84,950,979,889,868,1128,767,785,-86.8
26,4.94,622,852,851,294,-648.1,284,-664,-92,-86.4,925,978,891,208,399,763,797,-83.02
26,4.94,649,853,851,291,-655.7,287,-664,-87,-83.9,917,986,885,95,347,783,809,-84.49
25.9,4.93,660,853,851,295,-643.7,287,-652,-85,-84.3,907,994,896,330,330,776,801,-84.31
25.9,4.94,611,853,851,297,-642.6,290,-657,-88,-85.2,897,979,890,382,399,766,785,-89.5
26,4.94,641,858,856,297,-652.5,286,-659,-87,-83.9,900,991,878,677,339,782,804,-86.79
26,4.93,684,857,856,301,-643.4,282,-663,-85,-78.6,960,992,888,312,365,781,814,-82.76
26,4.93,705,857,856,296,-655.8,283,-667,-96,-84.2,970,1001,883,217,382,779,799,-85.59
25.9,4.94,707,857,856,299,-655.8,277,-680,-95,-87.5,962,998,887,234,417,764,810,-88.37
25.5,4.93,690,857,857,300,-658.1,280,-674,-101,-93,952,995,883,295,356,772,803,-91.99
25.5,4.94,688,857,857,299,-652.4,282,-674,-90,-93.2,972,990,890,686,451,782,809,-88.81
